Sample period = 25.00000ns
Input period (ns), Input frequency, Output magnitude, Output magnitude (db)
0.000000, 0.000000*Fs, 1.137142, 1.116293
1000.000000, 0.025000*Fs, 0.864908, -1.260606
500.000000, 0.050000*Fs, 1.082226, 0.686356
333.333333, 0.075000*Fs, 0.973013, -0.237625
250.000000, 0.100000*Fs, 0.863028, -1.279499
238.095238, 0.105000*Fs, 0.316991, -9.979066
227.272727, 0.110000*Fs, 0.041194, -27.703413
217.391304, 0.115000*Fs, 0.000498, -66.060311
200.000000, 0.125000*Fs, 0.000717, -62.893317
166.666667, 0.150000*Fs, 0.000899, -60.923141
142.857143, 0.175000*Fs, 0.000767, -62.308418
125.000000, 0.200000*Fs, 0.000602, -64.407755
83.333333, 0.300000*Fs, 0.000531, -65.492275
62.500000, 0.400000*Fs, 0.000316, -70.005706
