Sample period = 16.66667ns
Input period (ns), Input frequency, Output magnitude, Output magnitude (db)
0.000000, 0.000000*Fs, 1.136379, 1.110463
666.666667, 0.025000*Fs, 0.864434, -1.265367
333.333333, 0.050000*Fs, 1.082395, 0.687718
222.222222, 0.075000*Fs, 0.973729, -0.231242
166.666667, 0.100000*Fs, 0.863554, -1.274206
158.730159, 0.105000*Fs, 0.316997, -9.978903
151.515152, 0.110000*Fs, 0.040634, -27.822300
144.927536, 0.115000*Fs, 0.000237, -72.497487
133.333333, 0.125000*Fs, 0.000039, -88.078058
111.111111, 0.150000*Fs, 0.000224, -72.982956
95.238095, 0.175000*Fs, 0.000116, -78.692244
83.333333, 0.200000*Fs, 0.000123, -78.205729
55.555556, 0.300000*Fs, 0.000009, -100.811220
41.666667, 0.400000*Fs, 0.000007, -103.285163
